res_id,name,establishment,city,locality,cuisines,average_cost_for_two,price_range,currency,aggregate_rating,rating_text,votes,photo_count,delivery,takeaway
3400299,Bikanervala,Quick Bites,Agra,Khandari,"North Indian, South Indian, Mithai, Street Food, Desserts",700,2,Rs.,4.4,Very Good,814,154,-1,-1
3400005,Mama Chicken Mama Franky House,Quick Bites,Agra,Agra Cantt,"North Indian, Mughlai, Rolls, Chinese, Fast Food, Street Food",600,2,Rs.,4.4,Very Good,1203,161,-1,-1
3401013,Bhagat Halwai,Quick Bites,Agra,Shahganj,"Fast Food, Mithai",300,1,Rs.,4.2,Very Good,801,107,1,-1
3400290,Bhagat Halwai,Quick Bites,Agra,Civil Lines,"Desserts, Bakery, Fast Food, South Indian",300,1,Rs.,4.3,Very Good,693,157,1,-1
3401744,The Salt Cafe Kitchen & Bar,Casual Dining,Agra,Tajganj,"North Indian, Continental, Italian",1000,3,Rs.,4.9,Excellent,470,291,1,-1
3400275,Domino's Pizza,Quick Bites,Agra,Civil Lines,"Pizza, Fast Food",400,2,Rs.,4.0,Very Good,707,62,-1,-1
3400296,Honeydew Restaurant,Quick Bites,Agra,Dayal Bagh,"North Indian, Fast Food, Chinese, South Indian",500,2,Rs.,4.2,Very Good,647,46,1,-1
3400368,Domino's Pizza,Quick Bites,Agra,Sikandra,"Pizza, Fast Food",400,2,Rs.,3.8,Good,617,18,-1,-1
3401284,Cake House,Bakery,Agra,Civil Lines,"Bakery, Fast Food",500,2,Rs.,3.4,Average,322,14,1,-1
3400838,Sugar N Thyme,Café,Agra,Tajganj,"Cafe, Chinese, Continental, Italian, Bakery, Desserts",1000,3,Rs.,4.4,Very Good,289,324,1,-1
3400868,Hichkee,Casual Dining,Agra,Civil Lines,"Continental, North Indian, Chinese",1200,3,Rs.,4.4,Very Good,683,229,1,-1
3400425,Bikanervala,Casual Dining,Agra,Tajganj,"North Indian, South Indian, Mithai, Street Food, Desserts",700,2,Rs.,4.4,Very Good,523,162,1,-1
3400105,Pizza Hut,Casual Dining,Agra,Tajganj,"Pizza, Fast Food, Italian",700,2,Rs.,4.1,Very Good,626,99,-1,-1
3400457,Yadav Dhaba Purana,Dhaba,Agra,Civil Lines,North Indian,300,1,Rs.,4.1,Very Good,361,9,1,-1
3400282,Aahar,Casual Dining,Agra,Civil Lines,"North Indian, South Indian, Chinese, Bakery, Continental",700,2,Rs.,4.1,Very Good,474,52,1,-1
3400611,Domino's Pizza,Quick Bites,Agra,Kamla Nagar,"Pizza, Fast Food",400,2,Rs.,3.5,Good,490,17,-1,-1
3400017,Pinch Of Spice,Casual Dining,Agra,Civil Lines,"North Indian, Chinese, Mughlai",1600,4,Rs.,4.6,Excellent,915,105,1,-1
3400279,Mc Donald's,Quick Bites,Agra,Civil Lines,"Burger, Fast Food",500,2,Rs.,4.3,Very Good,837,45,-1,-1
3400010,GMB - Gopika Sweets & Restaurant,Casual Dining,Agra,Tajganj,"Desserts, North Indian, South Indian, Chinese, Fast Food, Street Food",400,2,Rs.,4.1,Very Good,362,86,-1,-1
3400712,The Greener Side,Quick Bites,Agra,Civil Lines,"Fast Food, Wraps, Desserts, Beverages",300,1,Rs.,4.4,Very Good,490,77,1,-1
3400297,Bhagat Halwai,Quick Bites,Agra,Dayal Bagh,"Mithai, Chinese, Fast Food, Street Food, South Indian, Bakery",250,1,Rs.,3.9,Good,417,52,1,-1
3400370,Pizza Hut,Casual Dining,Agra,Sikandra,"Pizza, Fast Food, Italian",700,2,Rs.,3.9,Good,376,54,1,-1
3400018,Pinch Of Spice,Casual Dining,Agra,Tajganj,"North Indian, Chinese, Continental",1600,4,Rs.,4.6,Excellent,965,690,1,-1
3401687,Jain Bhojnalaya,Bhojanalya,Agra,Sikandra,North Indian,200,1,Rs.,4.2,Very Good,237,3,1,-1
3400469,Papa Ji Da Dhaba,Dhaba,Agra,Civil Lines,North Indian,250,1,Rs.,4.1,Very Good,402,14,1,-1
3400021,Chokho Jeeman Marwari Jain Bhojanalya,Casual Dining,Agra,Civil Lines,Rajasthani,400,2,Rs.,4.3,Very Good,514,109,1,-1
3400277,Pizza Hut,Casual Dining,Agra,Civil Lines,"Pizza, Fast Food, Italian",700,2,Rs.,3.9,Good,410,61,1,-1
3400850,Urban Deck,Casual Dining,Agra,Civil Lines,"Mexican, Italian, North Indian",1600,4,Rs.,4.3,Very Good,672,192,1,-1
3400251,Domino's Pizza,Quick Bites,Agra,Agra Cantt,"Pizza, Fast Food",400,2,Rs.,3.6,Good,433,26,-1,-1
18888066,Kiskey Whiskey,Bar,Agra,Civil Lines,"North Indian, Continental, Chinese",700,2,Rs.,4.5,Excellent,406,235,-1,-1
3400130,Manoj Restaurant,Quick Bites,Agra,Mantola,"South Indian, Chinese",200,1,Rs.,3.9,Good,384,10,-1,-1
3400475,Amritsari Kulcha Junction,Quick Bites,Agra,Civil Lines,North Indian,600,2,Rs.,4.2,Very Good,381,51,1,-1
3400628,Deviram Food Circle,Sweet Shop,Agra,Lohamandi,"Mithai, Fast Food, Street Food, North Indian",200,1,Rs.,4.0,Very Good,266,22,1,-1
3400840,Subway,Quick Bites,Agra,Khandari,"Fast Food, Healthy Food, Sandwich, Salad",500,2,Rs.,4.1,Very Good,322,47,1,-1
3401344,Cafe Turquoise Cottage,Casual Dining,Agra,Tajganj,"North Indian, Chinese, Continental, Italian, Pizza",1600,4,Rs.,4.6,Excellent,344,267,-1,-1
18895858,Guru Kripa Yadav Dhaba,Dhaba,Agra,Civil Lines,North Indian,150,1,Rs.,4.0,Very Good,167,4,1,-1
